DIRECTORIO;P6040;P404;P3503;P3271;P400;FEX_C
7982509;14;2;2;1;3;32.818.569.804
7982509;10;2;2;2;3;32.818.569.804
7982516;13;2;2;2;3;16.747.569.433
7982517;12;2;2;2;3;24.026.298.482
7982524;11;2;2;1;3;2.803.631.606
7982528;11;2;2;2;3;21.356.709.762
7982530;13;2;2;1;3;23.720.926.151
7982531;10;2;2;2;3;40.448.313.943
7982532;7;2;2;2;3;25.226.587.421
7982533;7;2;2;1;3;38.876.694.667
7982535;17;;2;2;1;32.457.983.985
7982535;13;2;2;1;4;32.457.983.985
7982536;10;2;2;1;3;3.976.025.591
7982537;13;2;2;1;3;25.702.586.283
7982538;15;2;2;2;3;44.163.383.531
7982538;15;2;2;2;3;44.163.383.531
7982538;10;2;2;2;3;44.163.383.531
7982540;17;2;2;2;3;23.713.890.569
7982542;13;2;2;2;3;45.407.857.357
7982546;17;2;2;1;3;28.511.872.416
7982546;12;2;2;2;3;28.511.872.416
7982548;11;2;2;1;3;42.757.465.851
7982549;10;2;2;2;3;34.302.229.566
7982550;17;2;2;1;3;17.542.722.256
7982550;13;2;2;2;3;17.542.722.256
7982552;17;;2;2;1;19.937.473.507
7982553;11;2;2;1;3;25.527.874.732
7982555;16;2;2;2;3;23.491.038.384
7982556;17;2;2;2;3;18.422.326.376
7982556;12;2;2;2;3;18.422.326.376
7982570;7;2;2;2;3;3.172.480.405
7982571;11;2;2;2;3;16.771.047.595
7982573;14;2;2;2;3;39.010.025.588
7982573;10;2;2;1;3;39.010.025.588
7982583;16;2;2;1;3;10.527.543.889
7982585;6;2;2;1;3;60.744.653.632
7982585;5;2;2;1;3;60.744.653.632
7982586;8;2;2;1;3;10.809.444.664
7982586;17;2;2;1;3;10.809.444.664
7982588;11;2;2;1;3;10.313.965.893
7982592;10;2;2;1;3;63.888.917.625
7982598;16;2;2;1;3;97.130.833.201
7982603;16;2;2;1;3;10.766.718.529
7982603;5;2;2;1;3;10.766.718.529
7982604;16;2;2;2;3;30.118.005.789
7982608;17;2;2;1;3;5.520.745.855
7982609;14;2;2;2;3;55.244.904.867
7982609;9;2;2;1;3;55.244.904.867
7982610;17;2;2;2;3;1.251.806.483
7982612;17;2;2;2;3;11.001.389.755
7982616;16;2;2;1;3;33.619.499.058
7982617;7;2;2;1;3;74.054.436.875
7982617;13;2;2;1;3;74.054.436.875
7982621;16;2;2;1;3;65.555.698.156
7982624;7;2;2;1;3;31.382.618.157
7982625;8;2;2;1;3;88.118.705.953
7982633;9;2;2;2;3;69.726.266.103
7982640;14;2;2;2;3;12.553.047.263
7982640;6;2;2;2;3;12.553.047.263
7982643;7;2;2;1;3;84.387.440.819
7982652;16;2;2;2;3;88.646.507.749
7982665;14;2;2;1;3;8.251.172.714
7982666;9;2;2;1;3;62.046.840.159
7982669;17;2;2;1;3;10.558.415.557
7982669;9;2;2;1;3;10.558.415.557
7982669;6;2;2;2;3;10.558.415.557
7982671;9;2;2;2;3;81.765.319.557
7982672;7;2;2;2;3;69.113.863.531
7982678;10;2;2;2;3;95.608.668.144
7982678;7;2;2;1;3;95.608.668.144
7982683;12;2;2;2;3;15.989.662.491
7982685;13;2;2;2;3;1.340.068.872
7982685;7;2;2;2;6;1.340.068.872
7982690;9;2;2;2;3;81.765.319.557
7982691;17;1;2;2;4;6.195.210.389
7982692;17;;2;2;3;51.142.044.404
7982692;16;2;2;2;3;51.142.044.404
7982696;16;2;2;1;3;11.977.974.047
7982696;14;2;2;1;3;11.977.974.047
7982696;11;2;2;1;3;11.977.974.047
7982697;16;2;2;1;3;87.732.117.787
7982712;6;2;2;2;3;82.104.702.175
7982713;16;2;2;2;3;48.287.500.058
7982719;9;2;2;1;3;51.795.623.089
7982732;14;2;2;1;3;7.533.957.392
7982732;11;2;2;1;3;7.533.957.392
7982735;16;2;2;2;3;12.122.558.673
7982735;12;2;2;2;3;12.122.558.673
7982735;12;2;2;2;3;12.122.558.673
7982738;7;2;2;2;3;11.079.588.868
7982738;5;2;2;1;3;11.079.588.868
7982747;11;2;2;1;3;13.229.643.306
7982747;5;2;2;1;3;13.229.643.306
7982749;16;2;2;2;3;10.184.317.302
7982752;5;2;2;1;3;12.376.759.071
7982753;6;2;2;2;3;15.481.089.129
7982759;12;2;2;2;3;89.498.007.615
7982760;10;2;2;1;3;89.766.010.705
7982760;5;2;2;2;3;89.766.010.705
7982769;14;2;2;1;3;1.683.072.523
7982770;14;2;2;1;3;96.900.466.765
7982785;17;2;2;1;3;90.407.799.582
7982785;7;2;2;1;3;90.407.799.582
7982789;17;2;2;2;3;35.627.350.048
7982802;13;2;2;2;3;32.199.536.885
7982806;11;2;2;2;3;32.199.536.885
7982807;12;2;2;1;3;49.115.069.305
7982807;5;2;2;2;3;49.115.069.305
7982809;16;2;2;2;3;35.564.000.884
7982809;14;2;2;1;3;35.564.000.884
7982810;6;2;2;2;3;56.194.945.908
7982811;10;2;2;1;3;50.722.116.276
7982814;16;2;2;1;3;59.632.491.274
7982814;13;2;2;2;3;59.632.491.274
7982814;10;2;2;2;3;59.632.491.274
7982814;8;1;2;1;3;59.632.491.274
7982815;14;2;2;1;3;27.171.397.435
7982815;7;2;2;1;3;27.171.397.435
7982816;17;2;2;1;3;47.397.092.953
7982816;11;2;2;1;3;47.397.092.953
7982818;17;;2;1;1;42.878.246.974
7982818;16;;2;1;1;42.878.246.974
7982819;17;2;2;2;3;36.926.861.027
7982823;16;2;2;1;3;50.318.408.654
7982823;13;2;2;2;3;50.318.408.654
7982823;11;2;2;1;3;50.318.408.654
7982823;5;2;2;1;3;50.318.408.654
7982824;17;2;2;1;3;32.014.962.385
7982824;15;2;2;1;3;32.014.962.385
7982824;10;2;2;1;3;32.014.962.385
7982826;14;2;2;2;3;22.837.683.985
7982826;5;2;2;2;3;22.837.683.985
7982827;5;2;2;2;3;27.982.439.574
7982827;11;2;2;1;3;27.982.439.574
7982827;8;2;2;2;3;27.982.439.574
7982828;14;2;2;1;3;19.622.213.543
7982830;11;2;2;1;3;33.478.398.292
7982830;9;2;2;2;3;33.478.398.292
7982834;8;2;2;1;3;1.637.342.075
7982834;7;2;2;2;3;1.637.342.075
7982835;16;2;2;2;4;18.255.212.913
7982836;8;2;2;1;3;21.869.379.468
7982836;6;2;2;2;3;21.869.379.468
7982839;6;2;2;2;3;30.885.777.091
7982840;16;2;2;1;3;36.367.629.419
7982840;13;2;2;1;3;36.367.629.419
7982840;7;2;2;1;3;36.367.629.419
7982841;15;2;2;1;3;21.973.869.241
7982844;7;2;2;2;3;22.837.683.985
7982844;5;2;2;2;3;22.837.683.985
7982845;14;2;2;1;3;28.984.066.443
7982846;14;2;2;1;4;24.799.480.869
7982846;10;2;2;2;3;24.799.480.869
7982853;11;2;2;1;3;2.968.413.912
7982855;6;2;2;2;3;19.957.625.502
7982856;17;2;2;1;3;53.463.938.505
7982857;5;2;2;1;3;34.424.783.953
7982864;16;2;2;1;3;30.112.085.193
7982868;7;2;2;2;3;40.869.924.849
7982870;17;2;2;1;4;25.017.202.392
7982870;14;2;2;1;3;25.017.202.392
7982872;7;2;2;1;3;23.860.047.312
7982873;14;2;2;2;3;29.952.370.961
7982874;14;2;2;2;3;39.088.721.149
7982874;6;2;2;2;3;39.088.721.149
7982878;15;2;2;1;3;52.119.171.651
7982878;9;2;2;1;3;52.119.171.651
7982881;11;2;2;2;3;32.510.093.775
7982881;7;1;2;1;3;32.510.093.775
7982883;14;2;2;1;3;3.352.072.334
7982883;8;2;2;1;3;3.352.072.334
7982883;6;2;2;1;3;3.352.072.334
7982883;7;2;2;1;3;3.352.072.334
7982884;14;2;2;2;3;21.299.463.794
7982885;10;2;2;1;3;10.954.749.321
7982885;6;2;2;1;3;10.954.749.321
7982888;9;2;2;2;3;22.837.683.985
7982888;5;2;2;2;6;22.837.683.985
7982894;13;2;2;2;3;16.460.971.289
7982894;11;2;2;1;3;16.460.971.289
7982894;5;2;2;1;3;16.460.971.289
